epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1333.44,1.11939,2.27959,1.55798,0.60221,0.59956,0.58818,0.31168,1.4973,2.51952,2.23098,0.000414462,0.000414462,0.000414462
2,2636.55,1.18522,1.76916,1.584,0.72796,0.62311,0.69831,0.34046,1.54726,2.15801,2.29983,0.000798216,0.000798216,0.000798216
3,3937.27,1.17541,1.59579,1.58123,0.68656,0.62535,0.67317,0.35861,1.5968,1.85857,2.20032,0.00114897,0.00114897,0.00114897
4,5214.28,1.17546,1.47902,1.56152,0.77291,0.66927,0.73056,0.36707,1.67483,1.57534,2.53341,0.0011015,0.0011015,0.0011015
5,6541.68,1.13367,1.3145,1.52331,0.84964,0.77835,0.86037,0.5401,1.20505,1.17817,1.80609,0.001052,0.001052,0.001052
6,7663.89,1.11964,1.20249,1.50201,0.85693,0.8308,0.9036,0.56527,1.24738,1.10519,1.82667,0.0010025,0.0010025,0.0010025
7,8720.21,1.07002,1.11217,1.46467,0.8441,0.76126,0.86823,0.56458,1.16708,1.12828,1.75471,0.000953,0.000953,0.000953
8,9986.12,1.05886,1.07031,1.4683,0.84573,0.82486,0.90492,0.58708,1.17812,0.93987,1.75497,0.0009035,0.0009035,0.0009035
9,11280.3,1.01939,0.98182,1.4346,0.88046,0.85596,0.91856,0.62768,1.05561,0.86953,1.61116,0.000854,0.000854,0.000854
10,12579.7,1.00172,0.94572,1.41409,0.90299,0.90505,0.94177,0.66983,0.97227,0.73902,1.51861,0.0008045,0.0008045,0.0008045
11,13875,0.97396,0.92587,1.40171,0.93239,0.92358,0.96685,0.69605,0.96781,0.70031,1.51762,0.000755,0.000755,0.000755
12,15113.7,0.97084,0.88984,1.39228,0.93624,0.92291,0.96738,0.69513,0.9833,0.67345,1.52055,0.0007055,0.0007055,0.0007055
13,16146.6,0.95544,0.84718,1.38325,0.93683,0.92996,0.9749,0.72754,0.89223,0.579,1.43686,0.000656,0.000656,0.000656
14,17184.7,0.93115,0.80598,1.35156,0.94869,0.95554,0.97808,0.74042,0.8643,0.55934,1.39468,0.0006065,0.0006065,0.0006065
15,18224.6,0.90384,0.7799,1.33773,0.96021,0.94424,0.97851,0.75213,0.84523,0.53705,1.3762,0.000557,0.000557,0.000557
16,19257,0.81304,0.62025,1.39801,0.95718,0.94,0.97271,0.72303,0.88748,0.57202,1.44137,0.0005075,0.0005075,0.0005075
17,20285,0.76065,0.56279,1.34733,0.96806,0.95883,0.98331,0.76937,0.78525,0.50468,1.31107,0.000458,0.000458,0.000458
18,21314.6,0.72775,0.52409,1.30623,0.97331,0.96648,0.98624,0.7757,0.76896,0.48522,1.28887,0.0004085,0.0004085,0.0004085
19,22573.8,0.70151,0.4962,1.29492,0.9732,0.97496,0.99024,0.7994,0.71966,0.4594,1.24617,0.000359,0.000359,0.000359
20,23857.1,0.68904,0.45891,1.27195,0.97723,0.9761,0.98942,0.80517,0.69914,0.43534,1.2175,0.0003095,0.0003095,0.0003095
21,25144.4,0.65366,0.43352,1.2386,0.97889,0.98456,0.9894,0.8146,0.66972,0.40864,1.18232,0.00026,0.00026,0.00026
22,26432.3,0.62852,0.42204,1.23566,0.98034,0.98463,0.99183,0.81673,0.68206,0.41146,1.20054,0.0002105,0.0002105,0.0002105
23,27718.4,0.6078,0.40283,1.20426,0.98522,0.98597,0.99203,0.83448,0.62379,0.38783,1.14503,0.000161,0.000161,0.000161
24,28996.3,0.58372,0.38092,1.18477,0.98004,0.9879,0.99235,0.83856,0.60382,0.38266,1.11846,0.0001115,0.0001115,0.0001115
25,30120.7,0.56191,0.36669,1.17611,0.98109,0.98929,0.99253,0.84703,0.58224,0.36865,1.09761,6.2e-05,6.2e-05,6.2e-05
